title,description,cover_img,genre,quantity
A Brief History of Time,By Stephen Hawking,https://covers.openlibrary.org/b/id/5546156-L.jpg,physics,10
The Elegant Universe,By Brian Greene,https://covers.openlibrary.org/b/id/8094897-L.jpg,physics,10
Astrophysics for People in a Hurry,By Neil deGrasse Tyson,https://covers.openlibrary.org/b/id/8219250-L.jpg,physics,10
The Feynman Lectures on Physics,By Richard P. Feynman,https://covers.openlibrary.org/b/id/7047856-L.jpg,physics,10
The Fabric of the Cosmos,By Brian Greene,https://covers.openlibrary.org/b/id/8231850-L.jpg,physics,10
The Universe in a Nutshell,By Stephen Hawking,https://covers.openlibrary.org/b/id/11598288-L.jpg,physics,10
Six Easy Pieces,By Richard P. Feynman,https://covers.openlibrary.org/b/id/8231859-L.jpg,physics,10
Black Holes and Time Warps,By Kip S. Thorne,https://covers.openlibrary.org/b/id/8231866-L.jpg,physics,10
The Order of Time,By Carlo Rovelli,https://covers.openlibrary.org/b/id/8231872-L.jpg,physics,10
Physics of the Impossible,By Michio Kaku,https://covers.openlibrary.org/b/id/8231880-L.jpg,physics,10
Seven Brief Lessons on Physics,By Carlo Rovelli,https://covers.openlibrary.org/b/id/8231883-L.jpg,physics,10
The Grand Design,By Stephen Hawking and Leonard Mlodinow,https://covers.openlibrary.org/b/id/8231886-L.jpg,physics,10
Why Does E=mc2?,By Brian Cox and Jeff Forshaw,https://covers.openlibrary.org/b/id/8231888-L.jpg,physics,10
Quantum Mechanics: The Theoretical Minimum,By Leonard Susskind and Art Friedman,https://covers.openlibrary.org/b/id/8231891-L.jpg,physics,10
An Introduction to Modern Astrophysics,By Bradley W. Carroll and Dale A. Ostlie,https://covers.openlibrary.org/b/id/8231893-L.jpg,physics,10
The Disappearing Spoon,By Sam Kean,https://covers.openlibrary.org/b/id/8231896-L.jpg,chemistry,10
Napoleon's Buttons,By Penny Le Couteur and Jay Burreson,https://covers.openlibrary.org/b/id/8231898-L.jpg,chemistry,10
The Elements,By Theodore Gray,https://covers.openlibrary.org/b/id/8231900-L.jpg,chemistry,10
The Poisoner's Handbook,By Deborah Blum,https://covers.openlibrary.org/b/id/8231902-L.jpg,chemistry,10
Periodic Tales,By Hugh Aldersey-Williams,https://covers.openlibrary.org/b/id/8231904-L.jpg,chemistry,10
Uncle Tungsten,By Oliver Sacks,https://covers.openlibrary.org/b/id/8231906-L.jpg,chemistry,10
The Chemistry Book,By DK,https://covers.openlibrary.org/b/id/8231908-L.jpg,chemistry,10
Stuff Matters,By Mark Miodownik,https://covers.openlibrary.org/b/id/8231910-L.jpg,chemistry,10
The Joy of Chemistry,By Cathy Cobb and Monty L. Fetterolf,https://covers.openlibrary.org/b/id/8231912-L.jpg,chemistry,10
Chemistry: A Very Short Introduction,By Peter Atkins,https://covers.openlibrary.org/b/id/8231914-L.jpg,chemistry,10
The Periodic Table,By Primo Levi,https://covers.openlibrary.org/b/id/8231916-L.jpg,chemistry,10
The Alchemy of Air,By Thomas Hager,https://covers.openlibrary.org/b/id/8231918-L.jpg,chemistry,10
Molecules,By Theodore Gray,https://covers.openlibrary.org/b/id/8231920-L.jpg,chemistry,10
Crucibles: The Story of Chemistry,By Bernard Jaffe,https://covers.openlibrary.org/b/id/8231922-L.jpg,chemistry,10
The Chemical History of a Candle,By Michael Faraday,https://covers.openlibrary.org/b/id/8231924-L.jpg,chemistry,10
The Selfish Gene,By Richard Dawkins,https://covers.openlibrary.org/b/id/8231926-L.jpg,biology,10
The Origin of Species,By Charles Darwin,https://covers.openlibrary.org/b/id/8231928-L.jpg,biology,10
The Gene: An Intimate History,By Siddhartha Mukherjee,https://covers.openlibrary.org/b/id/8231930-L.jpg,biology,10
The Immortal Life of Henrietta Lacks,By Rebecca Skloot,https://covers.openlibrary.org/b/id/8231932-L.jpg,biology,10
Sapiens: A Brief History of Humankind,By Yuval Noah Harari,https://covers.openlibrary.org/b/id/8231934-L.jpg,biology,10
The Emperor of All Maladies,By Siddhartha Mukherjee,https://covers.openlibrary.org/b/id/8231936-L.jpg,biology,10
The Sixth Extinction,By Elizabeth Kolbert,https://covers.openlibrary.org/b/id/8231938-L.jpg,biology,10
Your Inner Fish,By Neil Shubin,https://covers.openlibrary.org/b/id/8231940-L.jpg,biology,10
The Vital Question,By Nick Lane,https://covers.openlibrary.org/b/id/8231942-L.jpg,biology,10
The Blind Watchmaker,By Richard Dawkins,https://covers.openlibrary.org/b/id/8231944-L.jpg,biology,10
The Double Helix,By James D. Watson,https://covers.openlibrary.org/b/id/8231946-L.jpg,biology,10
Life Ascending,By Nick Lane,https://covers.openlibrary.org/b/id/8231948-L.jpg,biology,10
The Tangled Tree,By David Quammen,https://covers.openlibrary.org/b/id/8231950-L.jpg,biology,10
I Contain Multitudes,By Ed Yong,https://covers.openlibrary.org/b/id/8231952-L.jpg,biology,10
The Hidden Life of Trees,By Peter Wohlleben,https://covers.openlibrary.org/b/id/8231954-L.jpg,biology,10
Clean Code,A Handbook of Agile Software Craftsmanship,https://covers.openlibrary.org/b/id/8231956-L.jpg,computer science,10
Introduction to the Theory of Computation,By Michael Sipser,https://covers.openlibrary.org/b/id/8231958-L.jpg,computer science,10
The Pragmatic Programmer,Your Journey to Mastery,https://covers.openlibrary.org/b/id/8231960-L.jpg,computer science,10
Design Patterns,Elements of Reusable Object-Oriented Software,https://covers.openlibrary.org/b/id/8231962-L.jpg,computer science,10
Artificial Intelligence: A Modern Approach,By Stuart Russell and Peter Norvig,https://covers.openlibrary.org/b/id/8231964-L.jpg,computer science,10
Introduction to Algorithms,By Thomas H. Cormen Charles E. Leiserson Ronald L. Rivest and Clifford Stein,https://covers.openlibrary.org/b/id/8231966-L.jpg,computer science,10
You Don't Know JS,By Kyle Simpson,https://covers.openlibrary.org/b/id/8231968-L.jpg,computer science,10
Grokking Algorithms,An illustrated guide for programmers and other curious people,https://covers.openlibrary.org/b/id/8231970-L.jpg,computer science,10
Code Complete,A Practical Handbook of Software Construction,https://covers.openlibrary.org/b/id/8231972-L.jpg,computer science,10
The Mythical Man-Month,Essays on Software Engineering,https://covers.openlibrary.org/b/id/8231974-L.jpg,computer science,10
Dune,By Frank Herbert,https://covers.openlibrary.org/b/id/8231976-L.jpg,science fiction,10
Neuromancer,By William Gibson,https://covers.openlibrary.org/b/id/8231978-L.jpg,science fiction,10
Foundation,By Isaac Asimov,https://covers.openlibrary.org/b/id/8231980-L.jpg,science fiction,10
Snow Crash,By Neal Stephenson,https://covers.openlibrary.org/b/id/8231982-L.jpg,science fiction,10
The Left Hand of Darkness,By Ursula K. Le Guin,https://covers.openlibrary.org/b/id/8231984-L.jpg,science fiction,10
Hyperion,By Dan Simmons,https://covers.openlibrary.org/b/id/8231986-L.jpg,science fiction,10
The Martian,By Andy Weir,https://covers.openlibrary.org/b/id/8231988-L.jpg,science fiction,10
Ender's Game,By Orson Scott Card,https://covers.openlibrary.org/b/id/8231990-L.jpg,science fiction,10
Brave New World,By Aldous Huxley,https://covers.openlibrary.org/b/id/8231992-L.jpg,science fiction,10
The War of the Worlds,By H.G. Wells,https://covers.openlibrary.org/b/id/8231994-L.jpg,science fiction,10
1984,By George Orwell,https://covers.openlibrary.org/b/id/8231996-L.jpg,science fiction,10
Fahrenheit 451,By Ray Bradbury,https://covers.openlibrary.org/b/id/8231998-L.jpg,science fiction,10
Steve Jobs,By Walter Isaacson,https://covers.openlibrary.org/b/id/8232000-L.jpg,biography,10
Long Walk to Freedom,By Nelson Mandela,https://covers.openlibrary.org/b/id/8232002-L.jpg,biography,10
Becoming,By Michelle Obama,https://covers.openlibrary.org/b/id/8232004-L.jpg,biography,10
The Wright Brothers,By David McCullough,https://covers.openlibrary.org/b/id/8232006-L.jpg,biography,10
The Glass Castle,By Jeannette Walls,https://covers.openlibrary.org/b/id/8232008-L.jpg,biography,10
Elon Musk,By Ashlee Vance,https://covers.openlibrary.org/b/id/8232010-L.jpg,biography,10
Alexander Hamilton,By Ron Chernow,https://covers.openlibrary.org/b/id/8232012-L.jpg,biography,10
The Immortal Life of Henrietta Lacks,By Rebecca Skloot,https://covers.openlibrary.org/b/id/8231932-L.jpg,biography,10
Into the Wild,By Jon Krakauer,https://covers.openlibrary.org/b/id/8232014-L.jpg,biography,10
How to Win Friends and Influence People,By Dale Carnegie,https://covers.openlibrary.org/b/id/8232016-L.jpg,self-help,10
The 7 Habits of Highly Effective People,Powerful Lessons in Personal Change,https://covers.openlibrary.org/b/id/8232018-L.jpg,self-help,10
Thinking, Fast and Slow By Daniel Kahneman,https://covers.openlibrary.org/b/id/8232020-L.jpg,self-help,10
The Subtle Art of Not Giving a F*ck,A Counterintuitive Approach to Living a Good Life,https://covers.openlibrary.org/b/id/8232022-L.jpg,self-help,10
You Are a Badass,How to Stop Doubting Your Greatness and Start Living an Awesome Life,https://covers.openlibrary.org/b/id/8232024-L.jpg,self-help,10
The Four Agreements,A Practical Guide to Personal Freedom,https://covers.openlibrary.org/b/id/8232026-L.jpg,self-help,10
Awaken the Giant Within,How to Take Immediate Control of Your Mental Emotional Physical and Financial Destiny!,https://covers.openlibrary.org/b/id/8232028-L.jpg,self-help,10
Man's Search for Meaning,By Viktor E. Frankl,https://covers.openlibrary.org/b/id/8232030-L.jpg,self-help,10
The Hobbit,By J.R.R. Tolkien,https://covers.openlibrary.org/b/id/8232032-L.jpg,fantasy,10
Harry Potter and the Sorcerer's Stone,By J.K. Rowling,https://covers.openlibrary.org/b/id/8232034-L.jpg,fantasy,10
A Game of Thrones,By George R.R. Martin,https://covers.openlibrary.org/b/id/8232036-L.jpg,fantasy,10
The Name of the Wind,By Patrick Rothfuss,https://covers.openlibrary.org/b/id/8232038-L.jpg,fantasy,10
